Movie ID,Title,Directors,Top Cast
10138,Iron Man 2,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell"
1165464,You Are Not Me,"Moisés Romera, Marisa Crespo","Roser Tapias, Jorge Motos, Pilar Almería, Álvaro Báguena, Alfred Picó"
9358,Final Destination 2,David R. Ellis,"A. J. Cook, Ali Larter, Michael Landes, Terrence 'T.C.' Carson, Jonathan Cherry"
1357459,Tatsulok,Jojo Nadela,"Mariane Saint, Marlon Marcia, Skye Gonzaga, Daniela Carolino, Mianne Agualada"
381284,Hidden Figures,Theodore Melfi,"Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst"
1299372,The Wailing,Pedro Martín Calero,"Ester Expósito, Mathilde Ollivier, Malena Villa, José Luis Ferrer, Claudia Roset"
976573,Elemental,Peter Sohn,"Leah Lewis, Mamoudou Athie, Ronnie del Carmen, Shila Ommi, Wendi McLendon-Covey"
1726,Iron Man,Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb"
1114513,Speak No Evil,James Watkins,"James McAvoy, Mackenzie Davis, Scoot McNairy, Aisling Franciosi, Alix West Lefler"
1075456,O'Dessa,Geremy Jasper,"Sadie Sink, Kelvin Harrison, Jr., Murray Bartlett, Regina Hall, Pokey LaFarge"
718821,Twisters,Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell, Anthony Ramos, Brandon Perea, Maura Tierney"
926393,The Equalizer 3,Antoine Fuqua,"Denzel Washington, Dakota Fanning, Eugenio Mastrandrea, David Denman, Gaia Scodellaro"
271110,Captain America: Civil War,"Joe Russo, Anthony Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie"
588228,The Tomorrow War,Chris McKay,"Chris Pratt, Yvonne Strahovski, J.K. Simmons, Betty Gilpin, Sam Richardson"
11324,Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams"
929590,Civil War,Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, Nelson Lee"
1087891,The Amateur,James Hawes,"Rami Malek, Michael Stuhlbarg, Laurence Fishburne, Rachel Brosnahan, Jon Bernthal"
76341,Mad Max: Fury Road,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman"
1079485,Winnie-the-Pooh: Blood and Honey 2,Rhys Frake-Waterfield,"Scott Chambers, Ryan Oliva, Marcus Massey, Tallulah Evans, Lewis Santer"
508883,The Boy and the Heron,Hayao Miyazaki,"Soma Santoki, Masaki Suda, Ko Shibasaki, Aimyon, Yoshino Kimura"
122917,The Hobbit: The Battle of the Five Armies,Peter Jackson,"Ian McKellen, Martin Freeman, Richard Armitage, Orlando Bloom, Evangeline Lilly"
111224,Ghost in the Shell: S.A.C. 2nd GIG - Individual Eleven,Kenji Kamiyama,"Atsuko Tanaka, Osamu Saka, Koichi Yamadera, Rikiya Koyama, Takashi Onozuka"
37165,The Truman Show,Peter Weir,"Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor"
195223,Love Rites,Walerian Borowczyk,"Mathieu Carrière, Marina Pierro, Josy Bernard, Isabelle Tinard, Jacques Couderc"
505642,Black Panther: Wakanda Forever,Ryan Coogler,"Letitia Wright, Tenoch Huerta Mejía, Lupita Nyong'o, Danai Gurira, Winston Duke"
337167,Fifty Shades Freed,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Eloise Mumford, Rita Ora"
755679,Fast X: Part 2,Louis Leterrier,"Vin Diesel, Dwayne Johnson, Jason Statham, Michelle Rodriguez, Tyrese Gibson"
269149,Zootopia,"Byron Howard, Rich Moore","Jason Bateman, Ginnifer Goodwin, Idris Elba, Jenny Slate, Nate Torrence"
414906,The Batman,Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright, Colin Farrell, Paul Dano"
12,Finding Nemo,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe, Geoffrey Rush"
38757,Tangled,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman, M.C. Gainey"
324857,Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry"
639720,IF,John Krasinski,"Cailey Fleming, Ryan Reynolds, John Krasinski, Fiona Shaw, Steve Carell"
18785,The Hangover,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham"
