mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
47794,https://myanimelist.net/anime/47794/MILGЯAM,MILGЯAM,MILGRAM,ミルグラム,Music,Other,,Currently Airing,4 min,PG-13 - Teens 13 or older,8.21,,6320,11909,233,"Es awakens in the facility Milgram to find a strange talking animal named Jackalope staring them down. Soon, they learn their purpose: as the prison guard, Es must delve into the psyches of 10 inmates, each of them imprisoned for causing the loss of life in some form or another. Their fates rest in Es' hands. Do the means justify an end, and how much does intent matter if the result is death? No matter how the lines between good and evil, right and wrong, and just and cruel are blurred, there are only two options Es can choose between: innocent or guilty.

[Written by MAL Rewrite]",,,OTOIRO,Suspense,https://cdn.myanimelist.net/images/anime/1497/112023.jpg,https://www.youtube.com/watch?v=ANtJ_kpPKsc,2020-05-01T00:00:00+00:00,,
235,https://myanimelist.net/anime/235/Meitantei_Conan,Meitantei Conan,Case Closed,名探偵コナン,TV,Manga,,Currently Airing,24 min,PG-13 - Teens 13 or older,8.17,438,708,361972,15364,"Shinichi Kudou, a high school student of astounding talent in detective work, is well known for having solved several challenging cases. One day, when Shinichi spots two suspicious men and decides to follow them, he inadvertently becomes witness to a disturbing illegal activity. Unfortunately, he is caught in the act, so the men dose him with an experimental drug formulated by their criminal organization, leaving him to his death. However, to his own astonishment, Shinichi lives to see another day, but now in the body of a seven-year-old child.

Perfectly preserving his original intelligence, he hides his real identity from everyone, including his childhood friend Ran Mouri and her father, private detective Kogorou Mouri. To this end, he takes on the alias of Conan Edogawa, inspired by the mystery writers Arthur Conan Doyle and Ranpo Edogawa.

Shinichi, as Conan, starts secretly solving the senior Mouri's cases from behind the scenes with his still exceptional sleuthing skills, while covertly investigating the organization responsible for his current state, hoping to reverse the drug's effects someday.

[Written by MAL Rewrite]",winter,1996,TMS Entertainment,"Adventure, Comedy, Mystery",https://cdn.myanimelist.net/images/anime/7/75199.jpg,,1996-01-08T00:00:00+00:00,,Saturdays at 18:00 (JST)
59160,https://myanimelist.net/anime/59160/Wind_Breaker_Season_2,Wind Breaker Season 2,Wind Breaker Season 2,WIND BREAKER Season 2,TV,Web manga,12,Currently Airing,23 min per ep,PG-13 - Teens 13 or older,8.16,459,2209,101985,415,Second season of Wind Breaker.,spring,2025,CloverWorks,Action,https://cdn.myanimelist.net/images/anime/1526/148873.jpg,https://www.youtube.com/watch?v=qaR2_4tYhq8,2025-04-04T00:00:00+00:00,,Fridays at 00:26 (JST)
44042,https://myanimelist.net/anime/44042/Holo_no_Graffiti,Holo no Graffiti,Holo Graffiti,ホロのぐらふぃてぃ,ONA,Other,,Currently Airing,1 min,PG-13 - Teens 13 or older,8.16,456,3112,57062,1888,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps.

[Written by MAL Rewrite]",,,Hololive Production,Comedy,https://cdn.myanimelist.net/images/anime/1259/110227.jpg,,2019-05-05T00:00:00+00:00,,
51818,https://myanimelist.net/anime/51818/Enen_no_Shouboutai__San_no_Shou,Enen no Shouboutai: San no Shou,Fire Force Season 3,炎炎ノ消防隊 参ノ章,TV,Manga,12,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.14,480,1423,177782,1133,Third season of Enen no Shouboutai.,spring,2025,David Production,"Action, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1527/146836.jpg,https://www.youtube.com/watch?v=nz-VCl7yUAw,2025-04-05T00:00:00+00:00,,Saturdays at 01:53 (JST)
51836,https://myanimelist.net/anime/51836/Douluo_Dalu_II__Jueshi_Tangmen,Douluo Dalu II: Jueshi Tangmen,Soul Land 2: The Peerless Tang Clan,斗罗大陆Ⅱ绝世唐门,ONA,Web novel,104,Currently Airing,20 min per ep,PG-13 - Teens 13 or older,8.07,563,8753,5382,97,"A strange continent in another world.

No magic, no battle qi, no martial arts, only martial spirits. Ten thousand years after the Tang clan was founded on the Douluo continent, the Tang clan has declined to the verge of extinction.

A whole new generation of proud talents has been born. Will the new generation of the Seven monsters of Shrek be able to reestablish the Tang Clan and compose a new tale of greatness for the unrivaled Tang Clan?

(Source: IMDB)",,,Sparkly Key Animation Studio,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1447/123844.jpg,,2023-06-24T00:00:00+00:00,,
59228,https://myanimelist.net/anime/59228/Kuroshitsuji__Midori_no_Majo-hen,Kuroshitsuji: Midori no Majo-hen,Black Butler: Emerald Witch Arc,黒執事 -緑の魔女編-,TV,Manga,13,Currently Airing,23 min per ep,R - 17+ (violence & profanity),7.99,680,4236,31648,125,"By the Queen's orders, Sebastian and Ciel head to Germany to investigate mysterious deaths that have been occurring. As the two investigate the truth behind the ""Werewolf Forest,"" where anyone who steps foot inside is cursed to death, a terrible curse falls upon them.

(Source: Official site, translated)",spring,2025,CloverWorks,"Action, Mystery, Supernatural",https://cdn.myanimelist.net/images/anime/1517/148292.jpg,https://www.youtube.com/watch?v=Vag2bbe70Y0,2025-04-05T00:00:00+00:00,,Saturdays at 23:30 (JST)
59953,https://myanimelist.net/anime/59953/Mushen_Ji,Mushen Ji,Tales of Herding Gods,牧神记,ONA,Novel,26,Currently Airing,20 min per ep,PG-13 - Teens 13 or older,7.89,852,10136,3532,17,"In the Disabled Elderly Village, there live nine elderly people with unpredictable origins and the young man Qin Mu they raised. One day, the cows that Qin Mu was responsible for grazing began to speak human words. From then on, Qin Mu became more aware of the dangers and beauty of Daxu, a land abandoned by gods: demons descended with darkness, divine bones danced in the ruins, and dragon bones protected their young, a giant ship that drags the sun... No matter what kind of danger he faces, Qin Mu is fearless. He has integrated the skills passed down by the Nine Elders and vowed to carve out a world with his unparalleled hegemony. 

(Source: Bilibili, Google translated)",,,Sparkly Key Animation Studio,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1848/145764.jpg,,2024-10-27T00:00:00+00:00,,
47405,https://myanimelist.net/anime/47405/Wanmei_Shijie,Wanmei Shijie,Perfect World,完美世界,ONA,Novel,234,Currently Airing,19 min per ep,PG-13 - Teens 13 or older,7.87,894,6382,11612,200,"Born into a unique world where villages fight to gain power and control, the main character, Shi Hao, is a genius blessed by the heavens born under the poorest of conditions.

His clan, however, has a mysterious past. To rise up and become the genius he is meant to be, the clan goes through every effort to aid his cultivation as they battle through fanatical monsters and engage in power struggles with other clans.

His journey will bring him through unknown lands until he is able to become a person that can truly shake the world.

(Source: Novels Xianxia&amp;Xuanhuan Wiki)",,,Foch Film,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1619/137928.jpg,https://www.youtube.com/watch?v=4aVauYFSN9c,2021-04-23T00:00:00+00:00,,
60083,https://myanimelist.net/anime/60083/Kowloon_Generic_Romance,Kowloon Generic Romance,Kowloon Generic Romance,九龍ジェネリックロマンス,TV,Manga,13,Currently Airing,25 min per ep,PG-13 - Teens 13 or older,7.81,1048,3641,43481,105,"In the distant future, individuals who adore the old way of life live in Kowloon Walled City—a slum city that serves as a refuge for those who long for the Hong Kong of the past. Realtor Reiko Kujirai, however, craves for the new and exciting places in the area. In contrast, her only coworker, Hajime Kudou, enjoys the nostalgia the city invokes and is put off by anything modern that seeps past its walls. But despite their differing views and constant bickering on the most mundane of things, the two often find themselves enjoying each other's company.

One day, a prank gone wrong leads Hajime to make an unexpected advance toward Reiko, after which he swiftly apologizes for. Baffled by his actions, Reiko starts investigating for possible explanations, only to discover a past that she has no memory of.

[Written by MAL Rewrite]",spring,2025,Arvo Animation,"Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1097/148302.jpg,https://www.youtube.com/watch?v=wIrH_z2TLqQ,2025-04-05T00:00:00+00:00,,Saturdays at 23:00 (JST)
