mal_id,url,title,title_english,title_japanese,type,source,episodes,status,duration,rating,score,rank,popularity,members,favorites,synopsis,season,year,studios,genres,images.jpg.image_url,trailer.url,aired.from,aired.to,broadcast.string
49778,https://myanimelist.net/anime/49778/Kijin_Gentoushou,Kijin Gentoushou,Sword of the Demon Hunter: Kijin Gentosho,鬼人幻燈抄,TV,Novel,,Currently Airing,Unknown,R - 17+ (violence & profanity),7.68,1355,3376,49043,161,"In the Edo period, there was a shrine maiden called ""Itsukihime"" in the mountain village of Kadono. Jinta, a young man who acts as the shrine maiden's guardian despite being a stranger, encounters a mysterious demon who speaks of the far future in the forest where he went to defeat it. From Edo to the Heisei era, this huge Japanese fantasy series follows a demon man who travels through time while continuously questioning the meaning of wielding a sword. 

(Source: Crunchyroll, edited)",spring,2025,Yokohama Animation Laboratory,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1722/148906.jpg,https://www.youtube.com/watch?v=4cOlvgk4UTs,2025-03-31T00:00:00+00:00,,Tuesdays at 00:00 (JST)
59466,https://myanimelist.net/anime/59466/Aharen-san_wa_Hakarenai_Season_2,Aharen-san wa Hakarenai Season 2,Aharen-san wa Hakarenai Season 2,阿波連さんははかれない season2,TV,Manga,,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,3547,45147,149,Second season of Aharen-san wa Hakarenai.,spring,2025,Felix Film,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1501/148355.jpg,https://www.youtube.com/watch?v=5-nbw77_Bss,2025-04-07T00:00:00+00:00,,Mondays at 22:00 (JST)
59466,https://myanimelist.net/anime/59466/Aharen-san_wa_Hakarenai_Season_2,Aharen-san wa Hakarenai Season 2,Aharen-san wa Hakarenai Season 2,阿波連さんははかれない season2,TV,Manga,,Not yet aired,Unknown,PG-13 - Teens 13 or older,,,3547,45147,149,Second season of Aharen-san wa Hakarenai.,spring,2025,Felix Film,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/1501/148355.jpg,https://www.youtube.com/watch?v=5-nbw77_Bss,2025-04-07T00:00:00+00:00,,Mondays at 22:00 (JST)
58359,https://myanimelist.net/anime/58359/Isshun_de_Chiryou_shiteita_noni_Yakutatazu_to_Tsuihou_sareta_Tensai_Chiyushi_Yami_Healer_toshite_Tanoshiku_Ikiru,"Isshun de Chiryou shiteita noni Yakutatazu to Tsuihou sareta Tensai Chiyushi, Yami Healer toshite Tanoshiku Ikiru",The Brilliant Healer's New Life in the Shadows,一瞬で治療していたのに役立たずと追放された天才治癒師、闇ヒーラーとして楽しく生きる,TV,Light novel,12,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,6.45,7437,3616,43650,129,"Life hasn't been kind to Zenos. He was born in the slums, and his dirt-poor background has denied him almost every opportunity. After an encounter with a healer, he throws himself into studying to become one and finally catches a break when an adventurer invites Zenos into his party. Zenos is thrilled—so thrilled, in fact, that he's willing to put up with his teammates treating him like garbage. They fail to appreciate his talents and ultimately kick him to the curb, claiming he's outlived his usefulness to them.

Now bereft of money and out of options, Zenos decides to put his self-taught skills to use elsewhere and opens an underground clinic. Word quickly spreads about the brilliant healer working incredible magic in the city's shadowy underbelly. Even the royal palace is taking notice...

Can Zenos buck the odds and carve out a life for himself in a world that's spit in his face? And can he save the lives of the patients who wind up on his doorstep in the process?

(Source: J-Novel Club)",spring,2025,Makaria,Fantasy,https://cdn.myanimelist.net/images/anime/1211/147335.jpg,https://www.youtube.com/watch?v=3E5gmPGu238,2025-04-03T00:00:00+00:00,,Thursdays at 23:30 (JST)
60083,https://myanimelist.net/anime/60083/Kowloon_Generic_Romance,Kowloon Generic Romance,Kowloon Generic Romance,九龍ジェネリックロマンス,TV,Manga,13,Currently Airing,25 min per ep,PG-13 - Teens 13 or older,7.81,1048,3641,43481,105,"In the distant future, individuals who adore the old way of life live in Kowloon Walled City—a slum city that serves as a refuge for those who long for the Hong Kong of the past. Realtor Reiko Kujirai, however, craves for the new and exciting places in the area. In contrast, her only coworker, Hajime Kudou, enjoys the nostalgia the city invokes and is put off by anything modern that seeps past its walls. But despite their differing views and constant bickering on the most mundane of things, the two often find themselves enjoying each other's company.

One day, a prank gone wrong leads Hajime to make an unexpected advance toward Reiko, after which he swiftly apologizes for. Baffled by his actions, Reiko starts investigating for possible explanations, only to discover a past that she has no memory of.

[Written by MAL Rewrite]",spring,2025,Arvo Animation,"Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1097/148302.jpg,https://www.youtube.com/watch?v=wIrH_z2TLqQ,2025-04-05T00:00:00+00:00,,Saturdays at 23:00 (JST)
59833,https://myanimelist.net/anime/59833/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3__Bonus_Stage,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,KonoSuba: God's Blessing on This Wonderful World! 3 OVA,この素晴らしい世界に祝福を！３ーBONUS STAGEー,OVA,Light novel,2,Not yet aired,24 min per ep,PG-13 - Teens 13 or older,,,3749,40862,40,Original video anime episodes of Kono Subarashii Sekai ni Shukufuku wo!.,,,Drive,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1482/146928.jpg,https://www.youtube.com/watch?v=GJb28oUxOPw,2025-04-25T00:00:00+00:00,,
59833,https://myanimelist.net/anime/59833/Kono_Subarashii_Sekai_ni_Shukufuku_wo_3__Bonus_Stage,Kono Subarashii Sekai ni Shukufuku wo! 3: Bonus Stage,KonoSuba: God's Blessing on This Wonderful World! 3 OVA,この素晴らしい世界に祝福を！３ーBONUS STAGEー,OVA,Light novel,2,Not yet aired,24 min per ep,PG-13 - Teens 13 or older,,,3749,40862,40,Original video anime episodes of Kono Subarashii Sekai ni Shukufuku wo!.,,,Drive,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1482/146928.jpg,https://www.youtube.com/watch?v=GJb28oUxOPw,2025-04-25T00:00:00+00:00,,
53447,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X,Tu Bian Yingxiong X,To Be Hero X,凸变英雄X,ONA,Original,24,Currently Airing,24 min per ep,PG-13 - Teens 13 or older,8.5,144,3776,40309,260,"This is a world where heroes are created by people's trust, and the hero who has received the most trust is known as - X. In this world, people's trust can be calculated by data, and these values will be reflected on everyone's wrist. As long as enough trust points are obtained, ordinary people can also have superpowers and become superheroes that save the world. However, the ever-changing trust value makes the hero's path full of unknowns... 

(Source: Bilibili, translated)",,,"Pb Animation Co. Ltd., LAN Studio, Paper Plane Animation Studio",Action,https://cdn.myanimelist.net/images/anime/1232/148474.jpg,https://www.youtube.com/watch?v=4-e9BXNbDlc,2025-04-06T00:00:00+00:00,,
59654,https://myanimelist.net/anime/59654/Jujutsu_Kaisen__Kaigyoku_Gyokusetsu,Jujutsu Kaisen: Kaigyoku/Gyokusetsu,,呪術廻戦 懐玉・玉折,Movie,Manga,1,Not yet aired,Unknown,R - 17+ (violence & profanity),,,3797,39938,180,A compilation movie of Jujutsu Kaisen's Hidden Inventory and Premature Death arc.,,,MAPPA,"Action, Supernatural",https://cdn.myanimelist.net/images/anime/1999/147023.jpg,https://www.youtube.com/watch?v=X1ZWOFHHfW4,2025-05-30T00:00:00+00:00,,
59654,https://myanimelist.net/anime/59654/Jujutsu_Kaisen__Kaigyoku_Gyokusetsu,Jujutsu Kaisen: Kaigyoku/Gyokusetsu,,呪術廻戦 懐玉・玉折,Movie,Manga,1,Not yet aired,Unknown,R - 17+ (violence & profanity),,,3797,39938,180,A compilation movie of Jujutsu Kaisen's Hidden Inventory and Premature Death arc.,,,MAPPA,"Action, Supernatural",https://cdn.myanimelist.net/images/anime/1999/147023.jpg,https://www.youtube.com/watch?v=X1ZWOFHHfW4,2025-05-30T00:00:00+00:00,,
